="",="(1)",="",="(2)",=""
="",="Enline Uptake",="",="",=""
="main",="",="",="",=""
="Control",="0.000",="(.)",="0.404***",="(0.013)"
="Reason Ad",="0.376***",="(0.074)",="0.496***",="(0.013)"
="Emotion Ad",="0.184**",="(0.074)",="0.449***",="(0.013)"
="Age",="0.001",="(0.002)",="",=""
="Female (1)",="0.031",="(0.060)",="",=""
="Non-white (1)",="-0.068",="(0.061)",="",=""
="Years of Education",="-0.014",="(0.009)",="",=""
="Social Media Usage (hours per week)",="-0.015*",="(0.008)",="",=""
="Income Level",="-0.011",="(0.044)",="",=""
="Constant",="-0.052",="(0.190)",="",=""
="Observations",="4500",="",="4500",=""
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
